ID,馬名,性別,年齢,父,馬体重,オークション日,落札価格,落札時賞金,現在賞金,ROI,リンク,病歴,繁殖
1712,チャントアチャーム,牡,5,リアルインパクト,520,2025-03-20,1290000,6435000,0,-498.8,https://auction.keiba.rakuten.co.jp/item/13872,ゆう癖,
1001,リアルシング,牡,8,リアルインパクト,546,2025-05-15,1290000,53985000,0,-4184.9,https://auction.keiba.rakuten.co.jp/item/14150,フレグモーネ / 跛行 / 骨折,
2188,ファインプリンセス,牝,3,ファインニードル,526,2024-11-14,1280000,2060000,0,-160.9,https://auction.keiba.rakuten.co.jp/item/13356,鼻出血,
416,キスウマイ,牡,5,ロードバリオス,495,2025-07-24,1280000,7175000,0,-560.5,https://auction.keiba.rakuten.co.jp/item/14552,,
2219,シロノクミキョク,牝,4,ゴールドシップ,448,2024-11-21,1280000,9920000,0,-775.0,https://auction.keiba.rakuten.co.jp/item/13388,裂傷,
1315,マイネルトラキア,牡,3,ゴールドシップ,456,2025-07-17,1270000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14470,,
611,イサゴールド,牝,3,サトノクラウン,414,2025-08-21,1270000,1400000,0,-110.2,https://auction.keiba.rakuten.co.jp/item/14751,,
59,チカポコ,牝,5,ブラックタイド,420,2025-11-13,1270000,11400000,0,-897.6,https://auction.keiba.rakuten.co.jp/item/15323,さく癖 / 屈腱炎,
882,シップウジョー,牡,3,デクラレーションオブウォー,446,2025-04-24,1270000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14030,,
427,ウィルトゥーウェル,牝,3,サンダースノー,444,2025-07-27,1270000,4807000,0,-378.5,https://auction.keiba.rakuten.co.jp/item/14563,,
1453,ビップジェシー,牝,3,カリフォルニアクローム,428,2025-01-16,1270000,1950000,0,-153.5,https://auction.keiba.rakuten.co.jp/item/13608,,
727,クリノエドガー,牡,3,アジアエクスプレス,498,2025-09-04,1260000,150000,0,-11.9,https://auction.keiba.rakuten.co.jp/item/14874,,
1323,サバイバルナイン,牝,3,アレスバローズ,476,2025-07-17,1260000,540000,0,-42.9,https://auction.keiba.rakuten.co.jp/item/14478,,
673,メイショウクメハチ,牡,3,メイショウサムソン,492,2025-08-28,1260000,560000,0,-44.4,https://auction.keiba.rakuten.co.jp/item/14818,,
2305,ショウナンマリン,牝,3,シルバーステート,446,2024-12-12,1260000,3600000,0,-285.7,https://auction.keiba.rakuten.co.jp/item/13475,屈腱炎,
296,パラダイスステート,牝,2,シルバーステート,419,2025-09-25,1260000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15039,屈腱炎 / 関節炎,
2289,サイレントウルフ,牡,4,リーチザクラウン,520,2024-12-05,1260000,17540000,0,-1392.1,https://auction.keiba.rakuten.co.jp/item/13459,挫跖 / 骨折,
2250,ホーススピリット,牡,2,デクラレーションオブウォー,534,2024-11-28,1260000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13419,DDSP,
1876,ピエスダルジャン,牡,3,ハービンジャー,438,2024-09-19,1260000,3060000,0,-242.9,https://auction.keiba.rakuten.co.jp/item/13041,,
104,クアトロフォルトナ,牡,3,バゴ,520,2025-11-20,1260000,652000,0,-51.7,https://auction.keiba.rakuten.co.jp/item/15346,骨折,
836,オルティジア,牡,3,マクフィ,472,2025-09-18,1260000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14983,挫跖,
366,オメガセレナーデ,牝,3,ドゥラメンテ,436,2025-07-20,1260000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14500,さく癖 / ゆう癖,
989,ワンハート,牝,3,Karakontie,428,2025-05-15,1260000,830000,0,-65.9,https://auction.keiba.rakuten.co.jp/item/14138,,
1270,ファランジリング,牝,3,キタサンブラック,474,2025-07-10,1260000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14423,骨折,
484,ハイエストランク,牝,3,ミスターメロディ,466,2025-08-07,1250000,315000,0,-25.2,https://auction.keiba.rakuten.co.jp/item/14620,繋靭帯炎,
844,ヴァルドグラース,牝,3,ドゥラメンテ,426,2025-09-18,1250000,560000,0,-44.8,https://auction.keiba.rakuten.co.jp/item/14992,さく癖 / 骨瘤,
387,トラストユー,牝,3,ノーブルミッション,436,2025-07-24,1250000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14523,,
1322,レインチェック,牝,3,Postponed,382,2025-07-17,1250000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14477,,
1677,エールヴァーゲ,牝,4,ロゴタイプ,434,2025-03-13,1250000,1700000,0,-136.0,https://auction.keiba.rakuten.co.jp/item/13837,,
539,モルゲンゾンネ,牡,3,レイデオロ,450,2025-08-14,1250000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14677,,
618,エイシンイーピン,牝,2,ニホンピロアワーズ,448,2025-08-21,1240000,980000,0,-79.0,https://auction.keiba.rakuten.co.jp/item/14759,,
